Time;NOK;USD;DKK;PLN;SEK
5,04;0,404603296;0,895239669;0,223655585;0,608216665;0,142540504
5,05;0,408101657;0,900814605;0,221877253;0,609007514;0,14826049
5,06;0,411069923;0,904751866;0,220117904;0,610546102;0,153716558
5,07;0,413608169;0,907154781;0,218355859;0,61277736;0,159005107
5,08;0,416098181;0,908658426;0,216517471;0,615324979;0,164449821
5,09;0,418549795;0,909341708;0,214603569;0,618134143;0,170052473
5,1;0,420954347;0,909254169;0,212618618;0,621167226;0,175799072
5,11;0,423303172;0,908445354;0,210567083;0,624386602;0,181675632
5,12;0,425587606;0,906964804;0,208453429;0,627754644;0,187668163
5,13;0,427798985;0,904862062;0,206282121;0,631233726;0,193762677
5,14;0,429928642;0,902186673;0,204057625;0,63478622;0,199945187
5,15;0,431967915;0,898988177;0,201784405;0,638374501;0,206201704
5,16;0,433908138;0,895316119;0,199466927;0,641960942;0,212518239
5,17;0,435740646;0,891220041;0,197109655;0,645507915;0,218880805
5,18;0,437456776;0,886749486;0,194717055;0,648977796;0,225275413
5,19;0,439047862;0,881953997;0,192293591;0,652332956;0,231688075
5,2;0,44050524;0,876883117;0,18984373;0,655535769;0,238104802
5,21;0,441820245;0,871586388;0,187371935;0,65854861;0,244511606
5,22;0,442984212;0,866113354;0,184882673;0,66133385;0,2508945
5,23;0,443988478;0,860513558;0,182380408;0,663853864;0,257239494
5,24;0,444824376;0,854836542;0,179869605;0,666071025;0,2635326
5,25;0,445483244;0,849131849;0,177354729;0,667947707;0,269759831
